id,label,group,in_degree,out_degree,total_degree
39593,Fabric Shopping with Alex Anderson: Seven Projects to Help You: Â¥ Make Successful Choices Â¥ Build Your Confidence Â¥ Add to Your Fabric Stash,Book,467.0,10.0,477.0
523,0740724770,0,466.0,10.0,476.0
2264,Bagpipes & Brass,Music,466.0,10.0,476.0
7241,Souviens Toi De M'oublier,Music,462.0,10.0,472.0
5114,"Criticism in the Borderlands: Studies in Chicano Literature, Culture and Ideology (Post Contemporary Interventions)",Book,460.0,10.0,470.0
3580,"Kiss/Girls & Boys [UK 3"" CD]",Music,459.0,10.0,469.0
48,Scooby-doo Mysteries #24 (Scooby-Doo Mysteries),Book,442.0,10.0,452.0
14379,The Angel Levine,DVD,437.0,10.0,447.0
15270,An Irish Night Before Christmas (Night Before Christmas Series),Book,436.0,10.0,446.0
325,Standards : Trumpet Transcriptions With Piano Score,Book,436.0,10.0,446.0
2132,The Mammoth Book of Sea Battles: Great Stories and Classic Tales from the Golden Age of Naval Warfare,Book,432.0,10.0,442.0
30286,The SILENCE OF THE LAMBS,Book,427.0,10.0,437.0
8934,Gone,Music,425.0,10.0,435.0
99,An Employee's Guide to Stock Options,Book,420.0,10.0,430.0
4953,Scissors Cut,Music,411.0,10.0,421.0
56545,Diary of a French Herb Garden,Book,411.0,10.0,421.0
24593,Gait Analysis in Cerebral Palsy (Clinics in Developmental Medicine (Mac Keith Press)),Book,409.0,10.0,419.0
975,I Maccabees (Anchor Bible),Book,409.0,10.0,419.0
591,Venus Isle,Music,408.0,10.0,418.0
38,Resolving Conflicts At Work : A Complete Guide for Everyone on the Job,Book,405.0,10.0,415.0
76248,Keys to Your Child's Healthy Sexuality (Barron's Parenting Keys),Book,402.0,10.0,412.0
7243,"Talks to Teachers on Psychology and to Students on Some of Life's Ideals (Dover Books on Biology, Psychology, and Medicine)",Book,400.0,10.0,410.0
45,Beginning ASP.NET Databases using C#,Book,399.0,10.0,409.0
56948,Vocabulary for Achievement: Course 4,Book,396.0,10.0,406.0
32916,Pasta Pronto (Fresh and Simple),Book,388.0,10.0,398.0
18550,Mandy,Book,388.0,10.0,398.0
768,Tarot of a Moon Garden,Book,388.0,10.0,398.0
4949,Acoustica,Music,386.0,10.0,396.0
4460,Phonics Patterns by Dr. Fry,Book,385.0,10.0,395.0
589,Hap Ki Do #4,Video,382.0,10.0,392.0
1393,A Turkey for Thanksgiving,Book,381.0,10.0,391.0
14380,The Barbary Coast,DVD,377.0,10.0,387.0
87,Colloquial Polish: The Complete Course for Beginners (Colloquial Series (Book Only)),Book,374.0,10.0,384.0
6,How the Other Half Lives: Studies Among the Tenements of New York,Book,374.0,10.0,384.0
21043,Nebraska Pioneer Cookbook,Book,372.0,10.0,382.0
21042,Planning Using Primavera SureTrak Project Manager Version 3.0,Book,371.0,10.0,381.0
85546,Eddie Cochran at the Town Hall Party,DVD,367.0,10.0,377.0
88,Normal and Abnormal Development: The Influence of Primitive Reflexes on Motor Development,Book,367.0,10.0,377.0
120,Capital : A Critique of Political Economy (Penguin Classics),Book,362.0,10.0,372.0
170,Lafayette,Book,361.0,10.0,371.0
4459,Steve Marriott: Live in Concert,DVD,359.0,10.0,369.0
2568,Ceo Selection: A Street-Smart Review,Book,357.0,10.0,367.0
90,The Eagle Has Landed,Book,355.0,10.0,365.0
56,Three Bricks Shy of a Load: A Collection of True Stories About Ordinary People Doing Really Dumb Stuff!,Book,352.0,10.0,362.0
43947,"First Principles, Final Ends and Contemporary Philosophical Issues (Aquinas Lecture 54)",Book,350.0,10.0,360.0
16731,Rent,Music,350.0,10.0,360.0
2692,Schubert: Solo Piano Works,Music,345.0,10.0,355.0
44,The NBA's 100 Greatest Plays,DVD,341.0,10.0,351.0
21044,Trayecto,Music,339.0,10.0,349.0
2059,"The Russian Revolution, 1917",Book,338.0,10.0,348.0
39,Night of Many Dreams : A Novel,Book,329.0,10.0,339.0
25015,Stone Heart,Book,328.0,10.0,338.0
48994,Diagnosis and Treatment Planning in Counseling,Book,328.0,10.0,338.0
35,Burnt Toast on Davenport Street,Book,321.0,10.0,331.0
1712,My Brother's Keeper,Book,317.0,10.0,327.0
79652,Rumor Has It,Music,314.0,10.0,324.0
7682,Grammar for Grownups: A Self-Paced Training Manual,Book,314.0,10.0,324.0
11944,Economics,Book,314.0,10.0,324.0
32613,Boccherini: Quintetos Con Guitarra,Music,314.0,10.0,324.0
594,Nat King Cole Trio: Instrumental Classics,Music,313.0,10.0,323.0
2136,Powerplay (NC-17),Video,311.0,10.0,321.0
8937,Live at the BBC,Music,311.0,10.0,321.0
1197,It All Begins with a Date: Jewish Concerns about Intermarriage : Jewish Concerns about Intermarriage,Book,308.0,10.0,318.0
4056,Environmental Engineering Reference Manual for the PE Exam,Book,306.0,10.0,316.0
2629,Wake Me When It's Funny: How to Break into Show Business and Stay There,Book,305.0,10.0,315.0
2138,The Warren Court and the Pursuit of Justice,Book,297.0,10.0,307.0
45942,Java 2 Web Developer Certification Study Guide with CD-ROM,Book,296.0,10.0,306.0
8547,Club Dead (Southern Vampire Mysteries),Book,296.0,10.0,306.0
10994,Western Architecture: From Ancient Greece to the Present (World of Art),Book,292.0,10.0,302.0
14589,West Side Story: Oscar Peterson Trio,Music,292.0,10.0,302.0
18534,The Bust Guide to the New Girl Order,Book,291.0,10.0,301.0
21847,Not From Around Here,Music,288.0,10.0,298.0
2060,Neon Vernacular: New and Selected Poems (Wesleyan Poetry),Book,288.0,10.0,298.0
8548,Steelhead Fly Fishing,Book,286.0,10.0,296.0
13203,Dreams,Music,283.0,10.0,293.0
4,Life Application Bible Commentary: 1 and 2 Timothy and Titus,Book,281.0,10.0,291.0
